match_id,radiant_win
998708,0
998703,0
998727,1
998706,0
998694,1
998683,0
998690,0
998687,0
998677,1
998689,1
998678,1
998666,1
998648,0
998669,1
998663,0
998610,1
998652,0
998654,1
998644,1
998649,0
998639,1
998626,0
998645,0
998617,1
998634,1
998643,0
998612,0
998640,0
998616,1
998608,1
998589,1
998580,0
998585,0
998583,1
998590,0
998577,0
998557,0
998566,0
998578,1
998607,0
998555,0
998603,0
998599,1
998571,0
998561,0
998567,1
998554,1
998551,1
998552,0
998546,1
998536,1
998513,0
998512,0
998532,1
998514,0
998499,0
998539,1
998534,0
998508,1
998526,1
998494,1
998497,0
998529,0
998506,1
998493,0
998505,1
998496,0
998470,1
998475,1
998491,0
998480,1
998488,0
998504,0
998487,0
998462,0
998453,1
998463,1
998457,1
998442,0
998447,1
998460,1
998454,1
998449,0
998468,0
998448,0
998450,1
998444,1
998415,1
998439,0
998408,0
998409,0
998403,0
998425,0
998421,0
998423,0
998422,0
998384,1
998420,0
998386,0
998382,0
998380,1
998387,0
998399,0
998396,0
998397,1
998431,0
998429,1
998407,1
998390,0
998372,1
998371,0
998370,1
998376,1
998364,0
998368,0
998351,1
998357,1
998369,1
998321,1
998361,1
998309,0
998344,1
998350,0
998345,1
998334,1
998322,0
998330,0
998327,0
998306,0
998308,1
998305,0
998310,1
998323,1
998295,0
998299,1
998292,0
998297,1
998302,0
998293,0
998294,1
998286,0
998307,1
998288,1
998282,0
998279,1
998269,1
998277,1
998254,1
998255,0
998266,0
998250,0
998273,1
998280,0
998271,1
998253,1
998262,1
998252,1
998259,0
998233,0
998246,0
998241,1
998249,1
998247,1
998237,1
998224,0
998221,1
998215,0
998210,0
998216,0
998212,1
998207,0
998206,0
998203,1
998185,1
998188,0
998196,0
998189,0
998175,1
998176,0
998177,0
998137,1
998143,1
998131,0
998135,1
998146,0
998155,0
998156,1
998141,0
998152,0
998164,0
998162,1
998151,1
998139,0
998126,0
998142,0
998140,0
998166,1
998138,0
998153,0
998124,0
998159,0
998149,0
998136,1
998161,1
998116,0
998117,0
998120,0
998081,1
998080,0
998088,0
998097,1
998098,1
998093,1
998084,1
998105,0
998086,1
998102,1
998099,1
998110,1
998112,0
998083,1
998067,0
998073,0
998055,0
998052,1
998051,1
998038,1
998039,0
998059,0
998054,1
998049,0
998011,0
998031,0
998043,0
998058,1
998023,1
998021,0
998027,0
998009,1
998012,0
998007,0
998006,0
998014,0
998008,0
997985,1
997992,0
997995,1
997981,0
997980,1
997972,1
997978,0
997964,1
997973,0
997952,1
997946,0
997947,0
997958,0
997961,0
997950,1
997966,1
997959,0
997937,1
997942,0
997928,0
997940,0
997923,0
997954,0
997924,0
997930,1
997919,1
997918,0
997896,0
997913,0
997898,0
997926,1
997897,0
997903,0
997883,0
997871,1
997869,0
997874,1
997878,0
997851,0
997870,0
997852,0
997857,0
997859,0
997911,0
997914,0
997854,1
997845,0
997841,1
997843,1
997853,0
997826,0
997847,0
997839,0
997844,0
997831,1
997837,0
997828,1
997825,1
997813,1
997796,0
997823,1
997812,1
997817,0
997822,1
997835,1
997820,0
997808,1
997815,1
997787,0
997801,0
997799,1
997789,0
997809,0
997795,1
997784,0
997790,1
997767,0
997762,1
997800,0
997760,1
997786,0
997761,0
997743,0
997756,1
997755,0
997770,1
997765,1
997733,1
997727,1
997736,0
997729,1
997725,0
997728,1
997721,0
997730,1
997722,0
997723,0
997717,1
